,name,rating,state,regions
581,The Breakers Palm Beach,4.8,FL,S
582,Cheyenne Mountain Colorado Springs A Dolce Resort,4.3,CO,W
583,Fort Lauderdale Grand Hotel,3.3,FL,S
584,Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort,4.1,AZ,W
585,Torrance Marriott Redondo Beach,4.3,CA,W
586,Eldridge Hotel,4.4,KS,M
587,Lakehouse Hotel and Golf Resort,4.5,CA,W
589,Holiday Inn & Suites Bellingham,4.6,WA,W
590,Graduate Bloomington,4.5,IN,M
591,Harrah's Laughlin,3.9,NV,W
592,The Marquette Hotel Curio Collection by Hilton,4.4,MN,M
593,Amway Grand Plaza Curio Collection by Hilton,4.5,MI,W
594,Hotel Indigo Frisco,4.4,TX,S
595,The Joseph a Luxury Collection Hotel Nashville,4.8,TN,S
596,Metropolis Resort & Conference Center,4.1,WI,M
597,The Hotel Bentley of Alexandria,4.4,LA,S
599,Yogi Bear's Jellystone Park™ Camp-Resort: Tower Park,4.0,CA,W
600,GAYLORD OPRYLAND HOTEL,4.7,TN,S
601,Embassy Suites by Hilton South Jordan Salt Lake City,4.5,UT,W
602,Home2 Suites By Hilton Bismarck,4.7,ND,M
603,Manka's Inverness Lodge,4.5,CA,W
604,The Wigwam,4.5,AZ,W
605,Motel 6 Dyer Santa Ana Ca,3.7,CA,W
606,Hotel Solara Hobby,4.8,TX,S
607,Hard Rock Hotel And Casino Tulsa,4.3,OK,S
608,Marriott Syracuse Downtown,4.5,NY,N
609,Tru by Hilton Spartanburg,4.3,SC,S
610,Odessa Marriott Hotel & Conference Center,4.5,TX,S
611,Hampton Inn & Suites Valdosta/Conference Center,4.3,GA,S
612,Indian Lakes Hotel,3.7,IL,M
613,Club Quarters Hotel Philadelphia Rittenhouse Square,4.0,PA,N
614,Hilton Dallas/Rockwall Lakefront,4.5,TX,S
615,Hampton Inn Tracy,4.1,CA,W
616,Aloft Jacksonville Tapestry Park,4.4,FL,S
617,Hotel Contessa,4.4,TX,S
618,Lodge On The Desert,4.5,AZ,W
619,The Westin Virginia Beach Town Center,4.4,VA,S
620,Cobblestone Hotel & Suites - Urbana,4.5,OH,M
621,Hotel Retlaw Trademark Collection by Wyndham,4.4,WI,M
622,Millennium Knickerbocker Hotel Chicago,4.1,IL,M
623,The Tombstone Grand Hotel,3.9,AZ,W
624,Best Western Paradise Hotel,4.1,CA,W
625,Millennium Buffalo,4.2,NY,N
626,Tru by Hilton Cheyenne,4.0,WY,W
627,Holiday Inn Dallas DFW Airport Area West,3.9,TX,S
628,Hilton Los Angeles/San Gabriel,4.3,CA,W
629,Beach House,4.6,CA,W
630,Embassy Suites by Hilton Jonesboro Red Wolf Convention Center,4.5,AR,S
631,Harbor House Hotel & Marina at Pier 21,4.4,TX,S
632,Independence Hotel,4.6,OR,W
633,President Abraham Lincoln Springfield - a DoubleTree by Hilton Hotel,4.2,IL,M
634,Hotel Irvine,4.3,CA,W
635,Big Cypress Lodge,4.5,TN,S
636,DoubleTree by Hilton Hotel Tallahassee,4.3,FL,S
637,DoubleTree by Hilton Hotel Chicago - Alsip,4.2,IL,M
638,Magnolia Dallas Downtown,4.3,TX,S
639,DoubleTree by Hilton Pleasant Prairie Kenosha,4.4,WI,M
640,Fairfield Inn & Suites by Marriott Greensboro Wendover,4.4,NC,S
641,Hyatt Place Bowling Green,4.5,KY,S
642,Ocean Casino Resort,4.3,NJ,N
643,Fairfield Inn & Suites by Marriott Quincy,4.4,IL,M
644,Hyatt Regency Tamaya Resort And Spa,4.6,NM,W
645,Crowne Plaza Dallas Downtown,3.4,TX,S
646,Harrah's Ak-Chin,4.2,AZ,W
647,AC Hotel by Marriott Worcester,4.6,MA,N
648,Holiday Inn Resort Wilmington E-Wrightsville Beach,4.5,NC,S
649,Best Western Plus Heritage Inn,3.6,CA,W
650,Peppermill Resort Spa Casino,4.4,NV,W
652,The Westin Sarasota,4.5,FL,S
653,Fairfield Inn & Suites by Marriott Altoona,4.6,PA,N
654,The Inn at Saint Mary's,4.6,IN,M
655,Aloft Dallas Euless,4.3,TX,S
656,Hilton Alexandria Mark Center,4.1,VA,S
657,Courtyard by Marriott Wayne Fairfield,4.3,NJ,N
658,Hotel RL Olympia,4.0,WA,W
660,Hilton Garden Inn Clarksville,4.3,TN,S
661,Drury Inn & Suites Kansas City Independence,4.6,MO,M
662,Hyatt Regency Wichita,4.4,KS,M
663,Embassy Suites by Hilton Indianapolis North,4.1,IN,M
664,Hotel Vin Autograph Collection,4.8,TX,S
665,Hampton Inn & Suites Lynchburg,4.4,VA,S
666,The Centennial Hotel,4.3,NH,N
667,The Rockaway Hotel,4.9,NY,N
668,Blue Harbor Resort,4.4,WI,M
669,The Edgewater Hotel,4.4,WA,W
670,The Westin Fort Lauderdale Beach Resort,4.3,FL,S
671,816 Hotel Westport Country Club Plaza Ascend Hotel Collection,3.7,MO,M
672,The Wigwam,4.5,AZ,W
673,Hilton St. Petersburg Carillon Park,4.5,FL,S
674,Hilton Garden Inn Suffolk Riverfront,4.3,VA,S
675,Dallas/Fort Worth Marriott Hotel & Golf Club at Champions Circle,4.3,TX,S
676,Holiday Inn Tewksbury-Andover,3.7,MA,N
677,Sundance Mountain Resort,4.6,UT,W
678,Hyatt Place Lincoln/Downtown-Haymarket,4.5,NE,W
679,Hampton Inn & Suites Ashland,4.5,OH,M
680,Hotel Albuquerque at Old Town,4.4,NM,W
681,Courtyard by Marriott Fort Worth West at Cityview,4.3,TX,S
682,The Nautical Beachfront Resort,4.1,AZ,W
683,Country Inn & Suites by Radisson Sycamore IL,4.2,IL,M
684,Radisson Hotel Fargo,4.2,ND,M
685,Courtyard by Marriott Dayton South/Mall,4.0,OH,M
686,Boca Beach Club A Waldorf Astoria Resort,4.6,FL,S
687,Sheraton Cerritos Hotel,4.3,CA,W
688,Luxor Hotel & Casino,4.2,NV,W
689,The Inn at Stone Manor,4.6,MD,N
690,Tru by Hilton Goodyear Phoenix West,4.4,AZ,W
691,Hyatt Place Bloomington/Normal,4.5,IL,M
692,Holiday Inn Express & Suites St. Cloud,4.4,MN,M
693,Waterfront Hotel,4.2,CA,W
694,Hotel Valencia Santana Row,4.4,CA,W
695,Plaza Beach Hotel - Beachfront Resort,4.6,FL,S
696,Crowne Plaza Orlando - Universal Blvd,4.2,FL,S
697,Holiday Inn Express & Suites Meriden,3.9,CT,N
698,Camelot Inn at Honeyville,3.7,UT,W
699,C'mon Inn Hotel & Suites,4.3,ND,M
700,Hilton Knoxville,4.3,TN,S
701,Omni Fort Worth Hotel,4.4,TX,S
702,La Quinta Inn & Suites by Wyndham Inglewood,4.1,CA,W
703,Hilton Clearwater Beach Resort & Spa,4.2,FL,S
704,DoubleTree by Hilton Hotel Cleveland - Westlake,4.0,OH,M
705,Courtyard by Marriott Kalamazoo Portage,4.4,MI,W
706,Ramada by Wyndham Enid,3.8,OK,S
707,Holiday Inn Express & Suites Irving DFW Airport North,3.9,TX,S
708,Hilton Garden Inn Washington DC/Greenbelt,4.2,MD,N
711,Paséa Hotel & Spa,4.5,CA,W
712,TRYP by Wyndham Newark Downtown,4.2,NJ,N
713,Ocean Manor Beach Resort,4.0,FL,S
714,Key West Resort on Lake Dora - Tavares,4.1,FL,S
715,Hilton Garden Inn Jacksonville,4.4,NC,S
716,Hilton Orlando Buena Vista Palace - Disney Springs Area,4.0,FL,S
717,Courtyard by Marriott Charlotte Concord,4.3,NC,S
718,AC Hotel by Marriott Sunnyvale Cupertino,4.3,CA,W
719,Best Western Plus Prairie Inn,4.4,OR,W
720,Ponte Vineyard Inn,4.7,CA,W
721,The Murieta Inn and Spa,4.5,CA,W
722,Hilton Garden Inn Beaumont TX,4.2,TX,S
723,Hilton Garden Inn Houston-Baytown,4.7,TX,S
725,Ramada by Wyndham Sioux City,2.7,IA,M
726,The Centennial Hotel Spokane,3.9,WA,W
727,Hilton Garden Inn Lawton-Fort Sill,4.4,OK,S
728,Marriott Shoals Hotel & Spa,4.6,AL,S
729,Embassy Suites by Hilton Orlando-Lake Buena Vista South,4.6,FL,S
730,Hilton Orlando,4.5,FL,S
731,Sheraton College Park North Hotel,3.9,MD,N
732,The Charmant Hotel,4.6,WI,M
733,The Hotel Maison,4.3,WA,W
734,Comfort Inn & Suites,4.4,OR,W
735,Courtyard by Marriott Greenville Downtown,4.5,SC,S
736,Courtyard by Marriott Muncie at Horizon Convention Center,4.5,IN,M
737,La Quinta Inn & Suites by Wyndham Orange County Airport,4.0,CA,W
738,Courtyard by Marriott Albuquerque,4.2,NM,W
739,Park Suites,5.0,OH,M
740,Hilton Clearwater Beach Resort & Spa,4.2,FL,S
741,Home2 Suites by Hilton Abilene,4.5,TX,S
742,Oceanside Inn & Suites,2.8,CA,W
743,Capitol Plaza Hotel and Convention Center,3.7,MO,M
744,Omni Tucson National Resort,4.3,AZ,W
745,Holiday Inn Express & Suites Lafayette East,4.1,IN,M
746,Courtyard by Marriott Ames,3.9,IA,M
747,Visalia Marriott at the Convention Center,4.3,CA,W
748,Hotel Indigo Gainesville-Celebration Pointe,4.5,FL,S
749,La Quinta by Wyndham Altoona Des Moines,4.5,IA,M
750,Nantasket Beach Resort,4.3,MA,N
751,DoubleTree by Hilton Hotel Missoula - Edgewater,4.2,MT,W
752,Hyatt Regency Princeton,4.3,NJ,N
753,University Plaza Waterfront Hotel,4.3,CA,W
754,Tideline Ocean Resort & Spa,3.9,FL,S
755,Best Western Seacliff Inn,4.3,CA,W
756,Rosewood CordeValle,4.8,CA,W
757,Best Western Plus Executive Inn & Suites,3.9,CA,W
758,The Westin Virginia Beach Town Center,4.4,VA,S
759,Royal Park Hotel,4.6,MI,W
760,Embassy Suites by Hilton Los Angeles Downey,4.3,CA,W
761,Nobu Hotel Chicago,4.4,IL,M
762,Hyatt Regency Cleveland At The Arcade,4.4,OH,M
763,Lithia Springs Resort - Oregon's Mineral Waters Retreat,4.6,OR,W
764,Homewood Suites by Hilton Atlanta/Perimeter Center,4.3,GA,S
765,Days Inn & Suites by Wyndham Warren,2.8,MI,W
766,Ambiance,4.4,IL,M
767,Gaylord Texan Resort & Convention Center,4.5,TX,S
768,Park Lane Hotel NY,4.0,NY,N
769,Hampton Inn & Suites Columbia Killian Road,4.7,SC,S
770,Fort Lauderdale Grand Hotel,3.3,FL,S
771,DoubleTree by Hilton Hotel Rochester - Mayo Clinic Area,4.5,MN,M
772,Quality Inn,3.7,MI,W
773,Best Western Leesburg Hotel & Conference Center,3.9,VA,S
774,Hilton Garden Inn Denver Downtown,4.2,CO,W
775,Chaminade Resort & Spa,4.2,CA,W
776,Sleep Inn & Suites,4.1,IN,M
777,HOTEL DU PONT,4.3,DE,N
778,Studio Allston Hotel,4.0,MA,N
779,Sheraton Los Angeles San Gabriel,4.4,CA,W
780,Hilton San Diego Bayfront,4.4,CA,W
781,Monterey Park Inn,3.3,CA,W
782,The H Hotel,4.6,MI,W
783,Surfcomber On The Ocean,4.7,MA,N
784,Graduate Richmond,4.2,VA,S
785,21c Museum Hotel Durham,4.5,NC,S
786,Courtyard by Marriott New Braunfels River Village,4.4,TX,S
787,Hotel Shangri-La,4.2,CA,W
789,Courtyard by Marriott Salt Lake City Layton,4.3,UT,W
790,Cambria Hotel Sonoma Wine Country,4.5,CA,W
791,DoubleTree by Hilton Hotel Murfreesboro,4.1,TN,S
792,The Celeste Hotel Orlando a Tribute Portfolio Hotel,5.0,FL,S
793,The Liberty a Luxury Collection Hotel Boston,4.4,MA,N
795,Hilton Arlington,4.3,TX,S
796,Paséa Hotel & Spa,4.5,CA,W
797,Garden of the Gods Resort & Club,4.6,CO,W
798,Holiday Inn Express & Suites Belgrade,4.5,MT,W
799,The Centennial Hotel Spokane,3.9,WA,W
800,Best Western Premier Crown Chase Inn & Suites,4.6,TX,S
801,JW Marriott Desert Springs Resort & Spa,4.6,CA,W
802,The Laszlo Hotel,4.3,CO,W
803,Hotel Zena,4.2,DC,N
804,The STRAT Hotel Casino & SkyPod,4.1,NV,W
805,Lake Arrowhead Resort and Spa,4.2,CA,W
806,The Tombstone Grand Hotel,3.9,AZ,W
807,The Westin Waltham Boston,4.2,MA,N
808,The Rockaway Hotel,4.8,NY,N
809,AC Hotel by Marriott Columbus Dublin,4.6,OH,M
810,Caesars Palace,4.6,NV,W
811,Fairwind Hotel Miami,4.2,FL,S
812,The Ritz-Carlton Rancho Mirage,4.7,CA,W
813,Hotel Ava,3.8,TX,S
814,Hilton Virginia Beach Oceanfront,4.2,VA,S
815,Gruene River Hotel & Retreat,4.8,TX,S
816,Hotel Millwright In Amana,5.0,IA,M
817,Hampton Inn & Suites Tacoma/Puyallup,4.2,WA,W
819,The Clancy Autograph Collection,4.8,CA,W
820,Isleta Resort & Casino,4.1,NM,W
821,Courtyard by Marriott Charleston Historic District,4.2,SC,S
822,Hotel Boulderado,4.6,CO,W
823,DoubleTree by Hilton Hotel Denver Tech Center,4.3,CO,W
824,Hilton Cincinnati Netherland Plaza,4.4,OH,M
825,Omni Dallas Hotel,4.6,TX,S
826,The Belamar Hotel,4.3,CA,W
827,Hilton Garden Inn Seattle Downtown,4.3,WA,W
828,Hyatt Regency Baltimore Inner Harbor,4.4,MD,N
829,DoubleTree by Hilton Hotel Cleveland - Independence,4.0,OH,M
830,Cocopah Resort & Conference Center,4.1,AZ,W
831,Homewood Suites by Hilton Rocky Mount,4.6,NC,S
833,The Madison Washington DC a Hilton Hotel,4.2,DC,N
834,Quality Inn Merrimack - Nashua,3.8,NH,N
835,Hyatt Place Athens / Downtown,4.5,GA,S
836,SCP Hotel Colorado Springs,4.2,CO,W
837,Home2 Suites by Hilton Victorville,4.5,CA,W
839,TownePlace Suites by Marriott Macon Mercer University,4.6,GA,S
840,Bluemont Hotel,4.6,KS,M
842,10 Clarke,4.9,MD,N
843,Hilton Garden Inn Salina,4.5,KS,M
844,SpringHill Suites by Marriott Chattanooga North/Ooltewah,4.7,TN,S
845,Hilton Richmond Hotel & Spa/Short Pump,4.5,VA,S
846,Sybaris Northbrook,4.7,IL,M
847,The Westin Savannah Harbor Golf Resort & Spa,4.4,GA,S
848,Tusculum Farm,4.9,MD,N
849,Agua Caliente Resort Casino Spa Rancho Mirage,4.2,CA,W
850,The Bicycle Hotel & Casino,4.1,CA,W
851,Home2 Suites by Hilton Yakima Airport,4.6,WA,W
853,WangShi China Palace Bed and Breakfast,5.0,OK,S
854,Extended Stay America - San Diego - Oceanside,3.7,CA,W
855,The Wayfarer Downtown Los Angeles,4.3,CA,W
856,Wine Country Inn,4.6,CO,W
857,Holiday Inn & Suites Clearwater Beach,4.2,FL,S
858,Hyatt Place Warwick Providence Airport,4.5,RI,N
859,Best Western Plus Riverfront Hotel and Suites,4.1,MT,W
860,Hotel Lincoln,4.4,IL,M
861,DoubleTree by Hilton Hotel Sterling - Dulles Airport,4.2,VA,S
862,The Saguaro Palm Springs,4.1,CA,W
863,Pelican Grand Beach Resort,4.4,FL,S
864,Courtyard by Marriott San Marcos,4.4,TX,S
865,Millennium Hilton New York Downtown,4.2,NY,N
866,Castle Hotel Autograph Collection,4.4,FL,S
867,Hilton Garden Inn Denison/Sherman/At Texoma Event Center,4.5,TX,S
868,Harrah's Laughlin,3.9,NV,W
869,Hilton Garden Inn Lawton-Fort Sill,4.4,OK,S
870,The Peacock Inn,4.5,NJ,N
871,Stone House,4.1,RI,N
872,Hilton Bellevue,4.2,WA,W
873,Hilton Garden Inn West Des Moines,4.4,IA,M
874,Best Western Orlando Gateway Hotel,4.0,FL,S
875,Holiday Inn Express & Suites Tyler South,4.0,TX,S
876,Holiday Inn Express & Suites Albany,4.5,GA,S
877,Courtyard by Marriott Ames,4.0,IA,M
878,Hewing Hotel,4.5,MN,M
879,Lizzie Borden Bed and Breakfast Museum,4.7,MA,N
880,Holiday Inn Express & Suites Norman,4.4,OK,S
881,Hyatt House Indianapolis / Downtown,4.6,IN,M
882,Design Suites Miami Beach,3.6,FL,S
883,Hilton Minneapolis,4.3,MN,M
884,The Post Oak Hotel at Uptown Houston,4.7,TX,S
885,Hilton Daytona Beach Oceanfront Resort,4.1,FL,S
886,Guest House at Graceland,4.4,TN,S
887,DoubleTree by Hilton Hotel Washington DC - Crystal City,4.1,VA,S
888,Hilton Stockton,4.1,CA,W
889,Barona Resort & Casino,4.4,CA,W
890,Best Western Premier Boulder Falls Inn,4.7,OR,W
891,St. Louis Union Station Hotel Curio Collection by Hilton,4.3,MO,M
892,Hilton Ocala,4.3,FL,S
893,The Inn at Bowman's Hill,4.9,PA,N
894,SpringHill Suites by Marriott Stillwater,4.1,OK,S
895,Comfort Inn,3.8,IN,M
896,Courtyard by Marriott Charlotte Gastonia,4.4,NC,S
897,Courtyard by Marriott Corvallis,4.6,OR,W
898,Courtyard by Marriott Cape Girardeau Downtown,4.9,MO,M
899,Stagecoach Inn,4.2,TX,S
900,Ocean Casino Resort,4.3,NJ,N
901,AC Hotel by Marriott Columbus Dublin,4.6,OH,M
902,Hyatt Place Canton,4.4,OH,M
903,Courtyard by Marriott Tacoma Downtown,4.4,WA,W
904,DoubleTree Suites by Hilton Hotel Raleigh - Durham,4.3,NC,S
905,Tru by Hilton Sumter,4.4,SC,S
906,Courtyard by Marriott Stuart,4.5,FL,S
907,Treetop Hideaways,4.8,GA,S
908,Atlanta Marriott Marquis,4.4,GA,S
909,DoubleTree by Hilton Hotel Houston - Greenway Plaza,4.1,TX,S
910,Crowne Plaza Dallas Downtown,3.4,TX,S
911,DoubleTree by Hilton Hotel Bay City - Riverfront,4.5,MI,W
912,Holmes Student Center Guest Room,4.3,IL,M
913,Omni Los Angeles Hotel at California Plaza,4.4,CA,W
914,La Quinta Inn & Suites by Wyndham Dallas Duncanville,4.5,TX,S
915,Red Roof Inn & Suites Jacksonville NC,3.8,NC,S
916,Sybaris Downers Grove,4.3,IL,M
917,Radisson Hotel Bismarck,4.0,ND,M
918,AC Hotel by Marriott Los Angeles South Bay,4.5,CA,W
919,Hotel Indigo Kansas City Downtown,4.5,MO,M
920,Wyndham Deerfield Beach Resort,4.5,FL,S
921,Magnolia Creek Lodge,5.0,AL,S
922,Saguaro Lake Guest Ranch,4.7,AZ,W
923,Fairfield Inn & Suites by Marriott Tacoma DuPont,4.6,WA,W
924,Courtyard by Marriott Florence,4.2,SC,S
925,Home2 Suites By Hilton Clarksville Louisville North,4.2,IN,M
926,Hutchinson Island Plaza Hotel & Suites,4.3,FL,S
927,The Lofts at Downtown Salem,4.8,VA,S
928,Mystic Marriott Hotel & Spa,4.4,CT,N
929,Inn At Langley,4.8,WA,W
930,Hilton Cabana Miami Beach,3.9,FL,S
931,Radisson Hotel Fargo,4.2,ND,M
932,Country Inn & Suites by Radisson Mankato Hotel and Conference Center MN,4.3,MN,M
933,Pelican Grand Beach Resort,4.4,FL,S
934,D. Hotel Suites & Spa,4.4,MA,N
935,Country Inn & Suites by Radisson Wausau WI,4.4,WI,M
936,Hilton Wilmington/Christiana,4.4,DE,N
937,Soboba Casino Resort,3.9,CA,W
939,Dover Downs Hotel & Casino,4.3,DE,N
941,Hilton Garden Inn Wilmington Mayfaire Town Center,4.2,NC,S
942,Hampton Inn Boston/Marlborough,4.4,MA,N
943,Hilton Garden Inn Beaumont TX,4.2,TX,S
944,GrandStay® Residential Suites Hotel St Cloud,4.2,MN,M
945,The Don CeSar,4.4,FL,S
946,Overton Hotel & Conference Center,4.5,TX,S
947,St. James Hotel New Orleans Downtown (French Quarter Area),4.1,LA,S
948,Hilton Ocala,4.3,FL,S
950,Residence Inn by Marriott Provo South University,4.7,UT,W
951,Hotel McCoy - Art Coffee Beer Wine,4.7,AZ,W
952,Country Inn & Suites by Radisson Shreveport-Airport LA,3.7,LA,S
953,Days Inn by Wyndham St. Louis North,2.8,MO,M
954,Opal Sands Resort,4.6,FL,S
955,Tru by Hilton Cheyenne,4.0,WY,W
956,Omni La Costa Resort & Spa,4.5,CA,W
957,Courtyard by Marriott Las Cruces at NMSU,4.5,NM,W
958,Nobu Hotel Miami Beach,4.1,FL,S
959,Hilton Americas-Houston,4.5,TX,S
960,Island Beach Resort,4.4,FL,S
961,Embassy Suites by Hilton Hampton Convention Center,4.3,VA,S
962,Wingate by Wyndham Lancaster / PA Dutch Country,3.8,PA,N
963,The Godfrey Hotel Chicago,4.2,IL,M
964,Stratus Suites - Boutique Hotel,4.5,TX,S
965,Pacific Palms Resort,4.4,CA,W
966,The Westin Savannah Harbor Golf Resort & Spa,4.4,GA,S
967,The Lafayette Hotel Swim Club & Bungalows,4.4,CA,W
968,C'mon Inn Hotel & Suites,4.3,ND,M
969,Hilton Waco,4.4,TX,S
970,Sheraton Grand Sacramento Hotel,4.3,CA,W
971,The Heathman Lodge,4.5,WA,W
972,Home2 Suites by Hilton Warner Robins,4.4,GA,S
973,Courtyard by Marriott Pueblo Downtown,4.3,CO,W
974,21c Museum Hotel Durham,4.5,NC,S
975,Fairfield Inn & Suites by Marriott Houston Hobby Airport,3.9,TX,S
976,Holiday Inn Express & Suites Ames,4.3,IA,M
977,The Partridge Inn Augusta Curio Collection by Hilton,4.3,GA,S
978,Courtyard by Marriott Fort Myers Cape Coral,4.0,FL,S
979,La Quinta Inn by Wyndham Laredo I-35,3.7,TX,S
980,Palm Beach Gardens Marriott,4.1,FL,S
981,The Godfrey Hotel Boston,4.5,MA,N
982,Hard Rock Hotel and Casino Sacramento,3.8,CA,W
983,Hampton Inn Joplin,4.4,MO,M
984,Hyatt Regency St. Louis At The Arch,4.4,MO,M
985,Westfields Marriott Washington Dulles,4.5,VA,S
986,Courtyard by Marriott Springfield Airport,4.1,MO,M
987,Alaskan Inn and Spa,4.3,UT,W
988,Executive Airport Hotel,4.3,FL,S
989,Courtyard by Marriott Des Moines Ankeny,4.5,IA,M
990,Element Bloomington Mall of America,4.7,MN,M
991,The Elizabeth Hotel Autograph Collection,4.7,CO,W
992,Omni Viking Lakes Hotel,4.8,MN,M
993,The Madison Hotel Morristown NJ,4.4,NJ,N
994,Texican Court,4.5,TX,S
995,Crystal Cove Beach Cottages,4.7,CA,W
996,Mohegan Sun Pocono,4.0,PA,N
997,Marriott Sanibel Harbour Resort & Spa,4.4,FL,S
998,Arlo SoHo,4.3,NY,N
1000,DoubleTree by Hilton Hotel Portland,4.2,OR,W
1001,Best Western Plus Heritage Inn,3.6,CA,W
1002,Radisson Suites Hotel Anaheim - Buena Park,3.0,CA,W
1003,Hampton Inn High Point,4.2,NC,S
1004,The STRAT Hotel Casino & SkyPod,4.1,NV,W
1005,Hyatt House Jersey City,4.4,NJ,N
1006,Holiday Inn Express & Suites Tulsa S Broken Arrow Hwy 51,4.5,OK,S
1007,Country Inn & Suites by Radisson Waterloo IA,4.0,IA,M
1008,Holiday Inn Quincy,4.3,IL,M
1009,The Moran CITYCENTRE,4.5,TX,S
1010,SpringHill Suites by Marriott Belmont Redwood Shores,4.5,CA,W
1011,Hotel Indigo Columbus Architectural Center,4.5,IN,M
1012,Delamar Greenwich Harbor,4.5,CT,N
1013,Harrah's Kansas City,4.0,MO,M
1014,Residence Inn by Marriott Phoenix Mesa East,4.4,AZ,W
1015,Best Western Plus Anaheim Orange County Hotel,4.1,CA,W
1016,Best Western Paradise Hotel,4.1,CA,W
1017,Hotel Valencia Santana Row,4.4,CA,W
1018,Courtyard by Marriott Dallas Flower Mound,4.6,TX,S
1019,The Townsend Hotel,4.6,MI,W
1020,The Sinclair Autograph Collection,4.5,TX,S
1022,Wheatleigh,4.8,MA,N
1023,Fairfield Inn & Suites by Marriott St. Joseph,4.6,MO,M
1024,Mission Inn Hotel & Spa,4.6,CA,W
1025,Holiday Inn Express Hutchinson,4.3,KS,M
1026,The Westin Bonaventure Hotel & Suites Los Angeles,4.4,CA,W
1027,Crowne Plaza Orlando - Universal Blvd,4.2,FL,S
1028,Little America Hotel,4.5,AZ,W
1029,W Miami,4.6,FL,S
1030,The Hollywood Roosevelt,4.4,CA,W
1031,DoubleTree by Hilton Hotel Johnson City,4.3,TN,S
1032,Hampton Inn and Suites Johns Creek,4.7,GA,S
1033,The Beachcomber - St. Pete Beach,4.3,FL,S
1034,SpringHill Suites by Marriott Austin Round Rock,4.2,TX,S
1035,Aloft Broomfield Denver,4.3,CO,W
1036,The Farmhouse at White Horse Winery,5.0,NJ,N
1037,Best Western Orlando Gateway Hotel,4.0,FL,S
1038,The Admiral Hotel Mobile Curio Collection by Hilton,4.2,AL,S
1039,Marriott Syracuse Downtown,4.5,NY,N
1040,Hilton Meadowlands,3.9,NJ,N
1041,Ventura Beach Marriott,4.2,CA,W
1042,Sheraton Mesa Hotel at Wrigleyville West,4.4,AZ,W
1043,Macon Marriott City Center,4.0,GA,S
1044,Tru by Hilton Meridian Boise West,4.2,ID,W
1045,Tru by Hilton Vestal,4.6,NY,N
1046,Walt Disney World Swan,4.4,FL,S
1047,Hampton Inn & Suites Orem,4.3,UT,W
1048,Hyatt Regency Huntington Beach Resort And Spa,4.6,CA,W
1049,Holiday Inn Express & Suites Arlington (I-20-Parks Mall),4.2,TX,S
1050,The Guitar Hotel at Seminole Hard Rock,4.5,FL,S
1051,Holiday Inn Express & Suites Wilson I-95,4.0,NC,S
1052,Drury Plaza Hotel Dallas Richardson,4.9,TX,S
1053,Hotel Indigo Kansas City Downtown,4.5,MO,M
1054,Pacifica Lighthouse Trademark Collection by Wyndham,4.1,CA,W
1055,Hilton Tampa Downtown,4.4,FL,S
1056,Houston Marriott Sugar Land,4.4,TX,S
1057,Hilton Garden Inn Victorville,4.3,CA,W
1058,Berrodin Bed & Breakfast,4.8,OH,M
1059,The Landing Hotel NY,4.3,NY,N
1060,Sheraton Tampa Riverwalk Hotel,3.9,FL,S
1061,Country Inn & Suites by Radisson Texarkana TX,4.2,TX,S
1062,Hilton Garden Inn Rochester Downtown,4.3,MN,M
1063,Best Western Roosevelt Place Hotel,4.3,ND,M
1064,Hampton Inn & Suites Wilson I-95,4.2,NC,S
1065,Country Inn & Suites by Radisson York PA,3.9,PA,N
1066,Holiday Inn Express & Suites Chico,4.4,CA,W
1067,Tru By Hilton Duluth Mall Area,4.4,MN,M
1068,Isle Casino Hotel Waterloo,3.8,IA,M
1069,Best Western Plus Navigator Inn & Suites,4.2,WA,W
1070,Marriott Sanibel Harbour Resort & Spa,4.4,FL,S
1071,Grand Beach Hotel Surfside,4.1,FL,S
1072,Hampton Inn & Suites Lawton,4.1,OK,S
1073,La Quinta Resort & Club A Waldorf Astoria Resort,4.6,CA,W
1074,Indianapolis Marriott East,4.3,IN,M
1075,OYO Hotel Palmdale - Antelope Valley,3.7,CA,W
1076,Hilton Garden Inn Abilene,4.3,TX,S
1077,Hampton Inn Bowling Green,4.2,KY,S
1078,Sheraton Indianapolis Hotel at Keystone Crossing,4.1,IN,M
1080,Kalamazoo House Bed & Breakfast,5.0,MI,W
1081,The Hotel Roanoke & Conference Center Curio Collection by Hilton,4.7,VA,S
1082,Weathervane Inn,4.5,MI,W
1083,Hyatt Regency Orange County,4.4,CA,W
1084,Hampton Inn & Suites Albany At Albany Mall,4.4,GA,S
1085,Big Cypress Lodge,4.5,TN,S
1086,Holiday Inn Casa Grande,4.0,AZ,W
1087,DoubleTree by Hilton Harrisonburg,4.1,VA,S
1088,Holiday Inn Express & Suites Lafayette East,4.1,IN,M
1089,DoubleTree by Hilton Hotel & Suites Charleston Airport,4.3,SC,S
1090,The Lytle Park Hotel Autograph Collection,4.6,OH,M
1091,Fairfield Inn & Suites by Marriott Greensboro Wendover,4.4,NC,S
1092,Fairfield Inn & Suites by Marriott St. Joseph,4.6,MO,M
1093,Hilton Garden Inn Homestead,5.0,FL,S
1094,Krystal Drake,0.0,TX,S
1095,Buena Vista House,4.8,OR,W
1096,The Delavan Hotel,4.3,NY,N
