,name,rating
141,TownePlace Suites by Marriott Phoenix Chandler/Fashion Center,4.3
142,Kimpton Nine Zero Hotel,4.4
143,Holiday Inn Express Baltimore-Bwi Airport West,4.3
144,South Seas Island Resort,4.3
145,Hampton Inn Hernando,4.5
146,Lake Pointe Inn Bed And Breakfast,4.8
147,AmericInn by Wyndham Mankato Event Center,4.2
148,Hampton Inn Kennewick at Southridge,4.5
149,Hilton McLean Tysons Corner,4.3
150,Baymont by Wyndham Baytown,3.7
151,Fairfield Inn & Suites by Marriott Bend Downtown,4.3
152,Jekyll Island Convention Center,4.7
153,The Westin Hilton Head Island Resort & Spa,4.3
154,Hampton Inn & Suites Rocky Hill - Hartford South,4.6
155,Home2 Suites by Hilton OKC Midwest City Tinker AFB,4.4
156,Courtyard by Marriott Tampa Northwest/Veterans Expressway,4.6
157,Captain Lord Mansion at the Kennebunkport Captains Collection,4.9
158,Delamar Southport,4.6
159,Hawthorn Suites by Wyndham Naples,4.5
160,Residence Inn by Marriott East Lansing,4.7
161,Sheraton Inner Harbor Hotel,4.1
162,DoubleTree by Hilton Hotel Los Angeles Downtown,4.3
163,62 Paine Rd,
164,Cambria Hotel Plano Frisco,4.5
165,Hyatt Place Reno-Tahoe Airport,4.4
166,DoubleTree by Hilton Hotel Los Angeles - Rosemead,4.3
167,Best Western Plus Gold Country Inn,4.4
168,Kimpton Lorien Hotel & Spa,4.3
169,"The Standard, Downtown LA",4.2
170,Holiday Inn Express & Suites Natchez South,4.2
171,Cedar House Sport Hotel,4.7
172,Hampton Inn Daytona/Ormond Beach,4.3
173,The Venetian Las Vegas,4.7
174,Hotel deLuxe,4.5
175,Holiday Inn Express & Suites Ft. Walton Beach - Hurlburt Area,4.2
176,Alexander's Lodge At Mt Rainier,4.1
177,Tesla Destination Charger,
178,Dossier Hotel,4.4
179,Four Points by Sheraton Columbus - Polaris,3.8
180,The Spring Resort & Spa,4.6
181,Homewood Suites by Hilton Columbus,4.3
182,Historic Boone Tavern Hotel and Restaurant,4.5
183,Park Right,3.4
184,Tesla Destination Charger,
185,"Distrikt Hotel Pittsburgh, Curio Collection by Hilton",4.3
186,Viceroy Washington DC,4.3
187,Hyatt Regency Indian Wells Resort & Spa,4.6
188,Rancho Gallina Inn,4.9
189,Holiday Inn & Suites Scottsdale North - Airpark,4.5
190,Hampton Inn West Plains,4.5
191,Dunbar House Inn and Event Property,4.6
192,Holiday Inn Express Eunice,3.5
193,SpringHill Suites by Marriott Birmingham Colonnade/Grandview,3.9
194,Arlington Resort Hotel & Spa,4.0
195,One Ski Hill Place,4.5
196,AC Hotel Chicago Downtown,4.3
197,Hampton Inn & Suites Dallas - Central Expy North Park Area,4.4
198,AKA Beverly Hills,4.6
199,Wellspring Ranch,5.0
200,The Lodge at Tiburon,4.2
201,Courtyard by Marriott Killeen,4.3
202,"My Place Hotel - St. George, UT",4.4
203,Four Points by Sheraton Destin-Fort Walton Beach,4.0
204,TownePlace Suites by Marriott Dothan,4.6
205,Hampton Inn & Suites Minneapolis West/ Minnetonka,4.6
